xwiki_page,Business_System,clientname,parentcompany,childcompany,lead,pmlead,notesissues,intake,cid,legalentity,requirequote,whoapprovequote,refusingprojects,followrules,intakeinfo,processingrequirements,securityrequirements,translationmemory,translationglossary,usrequirements,deliveryrequirements,certificationneeded,preferredlinguist,processinginformation,pricingrequirements,pricingstructure,expandoncontract,rushfees,minimums,languagenotincluded,billclient,porequirements,billingcontact,billinginfo
Client Info Library.California Department of Alcoholic Beverage Control (CMAS),XTRF,California Department of Alcoholic Beverage Control (CMAS),Client Info Library.California Multiple Award Schedule (CMAS),,,,,,,LLS,,,,,,,,,,,,,,,,[[California Multiple Award Schedule (CMAS)>>doc:California Multiple Award Schedule (CMAS)]],,,,,,,,
Client Info Library.San Louis Obispo County District Attorney's Office,XTRF,San Louis Obispo County District Attorney's Office,Client Info Library.State of California,,,,,,697661,LLS,,,,,,,,,,,,,,,,see SOW attached,,,,,,,,
Client Info Library.San Bruno VA Clinic | VA San Francisco Health Care,XTRF,San Bruno VA Clinic | VA San Francisco Health Care,,,,,,,"Direct Bill number:

9029019836",LLS,,,,,,,,,,,,,,,,,,,,,,,,
Client Info Library.Change Research,,,,,,,,,,LLS,,,,,,,,,,,,,,,,"Margin

English (US) to Spanish (Mexico) - $0.15 | $0.08 | $0.04 | $65/hr


FMT $55/hr | 1 hour min

PM 10% | 27.50 min",,,,,,,,
Client Info Library.Blythedale Children's Hospital,XTRF,Blythedale Children's Hospital,,,,,,,299091 **ONLY - Do not create new direct bill number. **,LLS,,,,,,,,,"[[**Healthcare Style Guide**>>url:https://wiki.llts.com:8181/xwiki/bin/download/Knowledge+Management/Healthcare+style+guide/WebHome/Healthcare%20Style%20Guide.pdf||rel=""__blank""]]** (% style=""color:#ff0000"" %)(Mandatory: Please provide to linguistic teams.)(%%)**",,,,,,,Healthcare List pricing with leveraging.,,,,,Invoices are to be added directly to their monthly interpreting invoice. Do not send them to the requesters. ,,"Billing is to be direct bill to this number, 299091, 9029018172, but all invoices should be sent to Accounts Payable AP@blythedale.org 
Billing address is:
Blythedale Childrens Hospital
95 Bradhurst Ave
Valhalla, NY 10595
 Do NOT send the invoices to the requestor, who is always Ciera Carhart  <ccarhart@blythedale.org>",
Client Info Library.Legal Services of New Jersey,XTRF,Legal Services of New Jersey,,,,,,,509340,LLS,,,,,,,,,,,,,,,,,"[[Rack Rates>>https://wiki.llts.com:8181/xwiki/bin/view/Knowledge%20Management/List%20Pricing%20-%20LLTS%20Rack%20Rates%20%28General%29/]] - with leveraging 

Arabic (Sudan) to English: $0.22/word",50% Rush (applies to all languages) ,,,,,,
Client Info Library.Fox Chase Cancer Center,,Fox Chase Cancer Center,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare pricing.,,,,,,,,
Client Info Library.Beacon Health Options,XTRF,Beacon Health Options,,,,,"Effective 05/21/2021, removed Value Options referenced and move all 2020-21 Value Options projects to Beacon Health Options, and asked Kurt and Customer Care to change 9029003613 to Beacon Health Options.",,"(% style=""line-height:1.4em"" %)~*~*9.15.2014

* (% style=""line-height:1.4em"" %)Confirmed with Billing at LLS that the account 9029003613 is paid in full and can now be used. Billing contact for reference:

(% style=""line-height:1.4em"" %)Rosemary Roberts(%%)
(% style=""line-height:1.4em"" %)Beacon Health Options(%%)
(% style=""line-height:1.4em"" %)10 British American Blvd.(%%)
(% style=""line-height:1.4em"" %)Latham NY(%%)
(% style=""line-height:1.4em"" %)12110(%%)
[[Rosemary.roberts@valueoptions.com>>path:mailto:Rosemary.roberts@valueoptions.com||style=""line-height: 1.4em; background-color: rgb(255, 255, 255);""]]
(% style=""line-height:1.4em"" %)518-220-8122

* (% style=""background-color:#f9cb9c; color:#000000; line-height:1.4em"" %)**DO NOT use CID 873388**",LLS,,,,,,,,,,,,,,,," 

{{pdfviewer file=""Beacon Pricing.pdf""/}}",Currency Conversions at $55.00/hr,,,,,,,
Client Info Library.Ascend Justice,,,,,,,,,,LLS,,,,,,,,,,,,,,,,"Ballpark rates approved in 6822232:

English to Arabic - $0.18

English to Chinese(S) - $0.18

English to Polish - $0.22

English to Spanish(US) - $0.15

DTP $55/ HR

PM 10% 27.50 min",,,,,,,,
Client Info Library.Partners Behavioral Health Management,XTRF,Partners Behavioral Health Management,,,,,,,,Fluent,"Yes, quote required",,,,,,,,"[[**Healthcare Style Guide**>>url:https://wiki.llts.com:8181/xwiki/bin/download/Knowledge+Management/Healthcare+style+guide/WebHome/Healthcare%20Style%20Guide.pdf||rel=""__blank""]]** (% style=""color:#ff0000"" %)(Mandatory: Please provide to linguistic teams.)(%%)**",,,,,,,"Margin Pricing

English to Spanish (US): $0.12/0.06/0.03

English to Spanish (US) PR: $60/hour 

$55/hour FMT

10% PM fee - $27.50 min",Volume and Contract discounts based on individual languages,"Yes, 25%","$50 minimum, $100 Rush minimum",,,,,
Client Info Library.William Bee Ririe Hospital,,William Bee Ririe Hospital,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS Block,,,,,,,,
Client Info Library.Charlotte Douglas International Airport,XTRF,Charlotte Douglas International Airport,State of North Carolina,,,,,,517020 - City of Charlotte - Aviation Dept,LLS,,,,,,,,,,,,,,,,[[National IPA Pricing>>doc:National IPA - Omnia Pricing]],"(% style=""background-color:#f1c40f"" %)**Client has a connector through LocHub. For connector projects please appply $0.02/word (even repetitions). This is a pass through fee that we are charged on all words by LocHub.**",,,,,,,
Client Info Library.Rock County Human Services Behavioral Health-CCS,,Rock County Human Services Behavioral Health-CCS,,,,,,,,LLS,,,,,,,,,,,,,,,,Government List Pricing.,,,,,,,,
Client Info Library.Burlington United Methodist Family Services,,,,,,,,,,LLS,,,,,,,,,,,,,,,,"[[List Pricing - Charity, Nonprofit List Pricing>>https://wiki.llts.com:8181/xwiki/bin/view/Knowledge%20Management/List%20Pricing%20-%20Charity%2C%20Nonprofit%20List%20Pricing/]]",,,,,,,,
Client Info Library.San Joaquin Regional Transit District,XTRF,San Joaquin Regional Transit District,,,,,,,"536518 - San Joaquin Regional Transit District (RTD)

506045 - San Joaquin RTD Marketing Customer Engagement ",LLS,,,,,,,,,,,,,,,,"Contract - same as CMAS

{{pdfviewer file=""PRICING-NTPandPO_20200115 FEC.pdf""/}}

 ","in line with CMAS, we've quoted off contract services

Proofreading (off contract) $65.00/hour

Formatting (off contract)  $55.00/hour",,,,,PO# P123680,,
Client Info Library.NYS Hudson Valley Justice Center,XTRF,NYS Hudson Valley Justice Center,State of New York,,,,,,509385,LLS,"Upon request.
Client custom Project Confirmation and Quote Template set to NYS PS69777
 ",,,,,,,,,,,,,,Client doesn't get leveraging,Client falls under NYS contract #PS69777,"Each language is priced a tiered per word rate. Please refer to “New York State Contract PS69777 Translation pricing 10-2022-2027” sheet for additional details.

Tier 1: $0.17/word
Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean, Arabic, Bengali and Polish
Tier 2: $0.24/word
All other languages

NOTE: If the requested language is rare and our resources are very limited per Jon Bove's confirmation and approval can charge up to $0.55/word

Formatting (Desktop Publishing):   
$60/hour for all languages

Document Review (for stand-alone copyedit projects): $55/hour

ADDITIONAL PRICING COMPONENTS
Client is not charged for the following services:
~* Proofreading
~* Project Management
~* Engineering

OFF CONTRACT (Priced at 50% margin):
~* Transcription
~* Recording",25%,No,,,,,"BDM: 

Daniel McAteer

Phone: 929-232-9665

Email: dmcateer@llts.com"
Client Info Library.Orchid Diagnostics,,Orchid Diagnostics,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS Block,,,,,,,,
Client Info Library.ACH Child and Family Services,XTRF,ACH Child and Family Services,,,,,,,,LLS,,,,,,,,,,,,,,,,State of Texas - no leveraging ,,,,,,,,
Client Info Library.Southern Alleghenies Planning and Development Commission,,Southern Alleghenies Planning and Development Commission,,,,,,,,LLS,,,,,,,,,,,,,,,,"

 


|**TARGET LANGUAGES**|**Translation Rate**|**Minimum**
|Spanish (US), Spanish (Latin America)|$0.16/word|$99.00/Minimum
|All other Languages offered by LanguageLine (170+)|(% colspan=""2"" %)Pricing available upon request


 



 



 


**Additional Pricing Components                                                                              Standard               Expedited**

**~                                                                                                                                                  Turnaround        Turnaround**

n  Additional charge for proofreading................................................................................ $65.00/hour ............... Rush Fee

n  Additional charge for basic layout/formatting............................................................... $55.00/hour ............... Rush Fee

n  Document Quality Assurance Review............................................................................ $45.00/hour ............... Rush Fee

n  File Preparations/TM Maintenance................................................................................. $65.00/hour................ Rush Fee

n  Project Management..................................................................................10% of overall project cost (0.5 hr. min. @$55/hour)



**~ **


**OTHER SERVICES PRICING:**

n  Graphic design services........................................................................................................................................... Individual Quote

n  In-language recordings............................................................................................................................................. Individual Quote

n  Transcription/translation of audio or videos files................................................................................................. Individual Quote

n  No delivery charge for Fax, E-mail, or U.S. Mail. Additional charge for courier services only.

n  Unless indicated otherwise, a one hour minimum will apply to all hourly services.


 



 




 



 




**DELIVERY GUIDELINES:**

Because the actual number of English words is not known until the source document has been translated, turn-around commitments are based on the estimated number of English words that will be delivered, as determined in LanguageLine’s best judgment before commencing work. Additional services could add extra days to a project timeline.

n  Less than 1,000 words.............................................................................................................................................. 1 - 3 business days

n  1,001 to 2,500 words................................................................................................................................................. 4 - 6 business days

n  2,501 to 7,500 words................................................................................................................................................. 6 - 8 business days

n  Greater than 7,501 words......................................................................................................................................... 8 + business days


 




**~ **


**RUSH FEES:**

A 50% rush charge will apply when an expedited delivery date is requested. 
",,,,,,,,
Client Info Library.Fern Health,XTRF,Fern Health,,,,,"[[image:1694555013244-280.png||height=""63"" width=""138""]]


Connector closed Nov 2024",,"Bill to:Fern Health
Attn: Cindy Ramsey
cindy.ramsey@fernhealth.com
360 Mount Kemble Avenue, Suite 3000
Morristown, NJ 07960",Lingo Systems (LLTS),"* For content received via Connector please process as preapproved, per Graham on 10.20.2023
* Connector projects will be set up with [[mike.howard@fernhealth.com>>path:mailto:mike.howard@fernhealth.com]] as the contact, into Spanish (US) as the language, ""Connector Project"" XTRF Service. Add Aprilia Thompson (apriliaalam@realizedcare.com) as an additional contact.
* Group together when they are created. Send to Oussama for lab efforts and assign to Chris White as the PM once efforts are ready. 
* Other project types will require quotes and be submitted through the customer portal.",,,,Will submit by connector (which is directed to quote starts) and also through the LanguageLine customer portal.,"(% class=""box infomessage"" %)
(((
__**Connector Solution: Figma and Contentful **__
)))

1. Client submits via connector, which generates a notification email to the starts team ([[projectstarts@llts.com>>path:mailto:projectstarts@llts.com]]) & Lab (Oussama: [[oabou-jamous@llts.com>>path:mailto:oabou-jamous@llts.com]])
1. When notification is received, Starts creates a new project in XTRF
11. Process workflow: Connector Project
11. Add placeholder file “Connector Translation Request” 
11. Change Type of Project to “Continuous Request”
11. Add to Group
11. Tag @Oussama  in comments to add efforts
1. Lab/Oussama preps and notifies Starts when files are ready
1. Starts assigns a PM
1. PM to Linguist (Translation)
1. PM notifies Lab when files are returned from translation
1. Lab delivers to Client via Connector
1. PM sends Client delivery notification with placeholder file
1. PM closes projects as Delivered and releases payables
1. End of Month - Project Billing adds receivables for the Group/all continuous request projects (Eric is building a view for these “continuous request” monthly project requests) and marks “Ready to review receivables” on each project in group to release to accounting
1. Accounting invoices

 ",,,,,,,,,"* Connector fee: Yes,** +$0.02/word all text**
* Other pricing in contract? (% style=""background-color:#f1c40f"" %)Have not formally presented pricing(%%). BDM set rates:
** $0.12/word English (US) to Spanish (US) with leveraging
** $65 PR (when required)
** $55 Format (when required)
** $99 Minimum Spanish 
** PM fee 10%, $27.50 min.
* **Yes, we pass leveraging to this client**",,"We do pass on leveraging on the TR/CE CAT receivables, but the $0.02 should be added using Administrative Fee (job type in XTRF) with a description of “Connector Technology Fee” for all text.",,,,,,,
Client Info Library.CONTACT Helpline,,,,,,,,,,LLS,,,,,,,,,,,,,,,,"LLS Pricing given historically, 2012, 2013, 2017.

[[Gov List Pricing>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Government%20List%20Pricing]] per solutions, Dec 2020",,,,,,,,
Client Info Library.University of Maryland Capital Region Health,XTRF,University of Maryland Capital Region Health,,,,,,"All requestors must have a unique bill account number unless explicitly approved by Roni Osbern. For new requestors, please request new number from Kurt Schneider and cc customerservice@llts.com on request. 

|University of Maryland Capital Region Health|9029008745|Sedwick, Chante
|University of Maryland Capital Region Health|9029009096|Phillips, Bobbi
|University of Maryland Capital Region Health|9029016131|Perry, Nikkie
|University of Maryland Capital Region Health|9029019512|Larson, Sarah",,LLS,,,,,,,,,,,,,,,,"[[University of Maryland Medical System Vizient SV4035 pricing (see Pricing tab, #23)>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/University%20of%20Maryland%20Medical%20System]]",,,,,,,,
Client Info Library.Umpqua Health Alliance,XTRF,Umpqua Health Alliance,,,,,,,9029018912,LLS,,,,,,,,,,,,"Please issue a certificate of accuracy with each project. Make sure to include a table with the name of the source and translated files.

The client knows that we can only do this when we translate/ translated the entire content. That we can't certify if we only translate pieces from a larger translation.",,,"[[Translation Localization (SOW - Exhibit A)_Umpqua Health Alliance.pdf>>attach:Translation  Localization (SOW - Exhibit A)_Umpqua Health Alliance.pdf||target=""_blank""]]

English to Achinese: $0.33/word

English to Filipino: $0.23/word

__**NO PROOFREADING:**__ This client has routinely rejected quotes with Proofreading in favor of quotes from competitors who do not include PR. We are no longer quoting Proofreading costs to this client, and should not perform proofreading unless it is (a) explicitly quoted, which would be rare and need BDM approval, or (b) the project really requires it and we can fit it into the margin without billing client. If you think your project must have proofreading, please see your vertical lead to confirm with the BDM.

Language independent tasks: unless the project falls under the minimum, please quote all non-linguistic tasks as language independent. The client has had questions about how we calculate formatting and other hours, and has requested that these are shown as a group, rather than per language. ",,,,,,,,,
Client Info Library.ContinuUs,,ContinuUs,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare List Pricing,,,,,,,,
Client Info Library.MedStar Mobile Healthcare,XTRF,MedStar Mobile Healthcare,Client Info Library.MedStar Health,,,,,,904100,LLS,,,,,"not affiliated with ""Medstar"" locations in Maryland ",,,,,,,,,,,[[MedStar Health price list>>doc:MedStar Health]],,,,,,,,
Client Info Library.Spartanburg School District Two,XTRF,Spartanburg School District Two,,,,,,,516092,LLS,,,,,,,,,,,,,,,,[[School District List Pricing.>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/School%20District%20%26%20Board%20of%20Education%20List%20Pricing]] No leveraging,English to Ukrainian $0.24/word,,,,,,,
Client Info Library.Grey Bruce Health Services,,Grey Bruce Health Services,,,,,,,,LLS,,,Approved by Bruce Linkleter on 4/6/2015 to accept projects from this Canada company,,,,,,,,,,,,,Health Care pricing,,,,,,,,
Client Info Library.Suffolk Federal Credit Union,WorkFront,,,,,,,,,LLS,,,,,,,,,,,,,,,,Margin pricing,"**English (US) to...**

Spanish (US): $0.15 / $0.08 / $.04 / $65/hr


FMT/CRM $55

PM 10% / 27.50 min",,Spanish - $99,,,,,
Client Info Library.Jamestown Public School District,,Jamestown Public School District,,,,,,,502794,LLS,,,,,,,,,,,,,,,,School District List Pricing (in Pricing DB.),,,,,,,,
Client Info Library.Employment Development Department (EDD),XTRF,Employment Development Department (EDD) ,Client Info Library.State of California,,,,"(% class=""box errormessage"" %)
(((
**DO NOT provide any translation projects **for The Employment Development Department (EDD) State of California regardless of who is requesting the service. Any questions, please reach out to Joseph Varda. 
\\This is not an active account.
)))",,,LLS,,,,,,,,,,,,,,,,,,,,,,,,
Client Info Library.The Surgery Center,,The Surgery Center,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare pricing,,,,,,,,
Client Info Library.Epic Brokers,XTRF,Epic Brokers,,,,,,,Direct billing- set at contact level and collect direct billing information for new all new contacts,LLS,,,,,,,,,,,,,,,,[[LLTS Rack Rates>>doc:Knowledge Management.List Pricing - LLTS Rack Rates (General).WebHome]],,,,,,,,
Client Info Library.NYS Nassau Co Office of Crime Victim Advocate,XTRF,NYS Nassau Co Office of Crime Victim Advocate,NYS Nassau County,,,,,,9020515132,LLS,"Upon request.
Client custom Project Confirmation and Quote Template set to NYS PS69777.
 ",,,,,,,,,,,,"|Language|TRCE|PR
|Chinese (Traditional)|E-C|[[Alice (HuiChih) Lee>>url:https://llts.my.workfront.com/user/5380845e000061969e534463034c1417]]
|Spanish (US)|S2 Lingua|Gabi
|Farsi|ILA|Bayan
|Haitian Creole|Creole Solutions|Nathalie Coupet
|Italian|Akzent|Silvia Hipple
|Korean|E-C|Kwang Park

If the preferred linguist is unavailable, please reach out to the client to inquire if they would like us to deliver later using the preferred linguist, or assign to a different linguist in order to deliver on time.",,Client doesn't get leveraging ,Client falls under NYS contract #PS69777,"Each language is priced a tiered per word rate. Please refer to “New York State Contract PS69777 Translation pricing 10-2022-2027” sheet for additional details.

Tier 1: $0.17/word
Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean, Arabic, Bengali and Polish
Tier 2: $0.24/word
All other languages

NOTE: If the requested language is rare and our resources are very limited per Jon Bove's confirmation and approval can charge up to $0.55/word

Formatting (Desktop Publishing):   
$60/hour for all languages

Document Review (for stand-alone copyedit projects): $55/hour

ADDITIONAL PRICING COMPONENTS
Client is not charged for the following services:
~* Proofreading
~* Project Management
~* Engineering

OFF CONTRACT (Priced at 50% margin):
~* Transcription
~* Recording",25%,No,,Bill all projects to account 9020515132,,,"BDM: 

Daniel McAteer

Phone: 929-232-9665

Email: dmcateer@llts.com"
Client Info Library.Portland State University,XTRF,Portland State University (PSU),,,,,"[[image:1701467995716-936.png||height=""75"" width=""291""]]

[[https:~~/~~/www.pdx.edu/>>url:https://www.pdx.edu/]]","Wiki set up for migration. Existing customer, no work since 2019 - new 2023 request set up in XTRF.",,Lingo Systems (LLTS),,,,,,,,,,,,,,,,[[SD List>>doc:School District & Board of Education List Pricing]],,,,,,,,
Client Info Library.The Larkin Company,XTRF,The Larkin Company,,,,,,,Direct Bill,LLS,,,,,,,,,,,,,,,,Healthcare,"MTPE:
English> French (France): $0.17/word

 ",,,,,,,
Client Info Library.Enfield Public Schools,XTRF,Enfield Public Schools,,,,,,,,LLS,,,,,Not a part of TransACT,,,,,,,,,,,School List Pricing,,,,,,,,
Client Info Library.Jefferson Healthcare,XTRF,Jefferson Healthcare,,,,,,,243656,LLS,"Yes,estimate only option in the client portal.",,,,,,,,,,,,,,,HC List Pricing,,,,,,,,
Client Info Library.Beachbody - Service Delivery and Network Support Team,XTRF,Beachbody - Service Delivery and Network Support Team,Client Info Library.Beachbody LLC,,,,Please see Beachbody LLC page: [[https:~~/~~/wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Beachbody%20LLC>>url:https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Beachbody%20LLC]],,LLS billing account number: 798960,LLS,,,,,,,,,,,,,,,,,,,,,,,,
"Client Info Library.Old Colony YMCA: Taunton CJSC, Lawrence CJSC",XTRF,Old Colony YMCA,Client Info Library.Commonwealth of Massachusetts,,,,Email domain of oldcolonyymca.org,"Must add location to department name, as it will be displayed on quotes, when adding a new user.","Varies by department. Billing must be added at the contact level.

Taunton CJSC (Community Justice Service Center) : 703135

Lawrence CJSC: 703143

 ",LLS,,,,,,,,,,,,,,,,"[[Commonwealth of Massachusetts>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Commonwealth%20of%20Massachusetts]] pricing

Tiffany confirmed we can use our regular quote template. ",,,,,,,,
Client Info Library.Creatives Rebuild New York (CRNY),,Creatives Rebuild New York,,,,,"[[image:1642795667767-602.png||height=""113"" width=""236""]]


* Expected kick-off date(((
1/21/22
)))
* Expected Source and Target Languages: English - Spanish, Chinese (Simplified & Traditional), Arabic, Russian
* Description of Target Audience: Artists",As confirmed by Jon Bove as of 2/1/2022 this client is considered a NYS client,LLS is setting up (PENDING),LLS,"Upon request.

A client specific template must be used for all quotes with no Terms and Conditions listed.

Please refer to Formatting as “Desktop Publishing” on all quotes, to align with language in the contract.","Erinrose Mager <[[Erinrose@creativesrebuildny.org>>path:mailto:Erinrose@creativesrebuildny.org]]>

Christopher Mulè <[[chris@creativesrebuildny.org>>path:mailto:chris@creativesrebuildny.org]]>",,,,,,,,,ShareFile,,,,,Client falls under NYS contract #PS67902,"Each language is priced a tiered per word rate. Please refer to “NYS Contract PS67902_Pricing 2018-2022” sheet for additional details.

Tier 1: $0.17/word
Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean
Tier 2: $0.24/word
All other languages

Formatting (Desktop Publishing):   
$50/hour for Tier 1 languages
$60/hour for Tier 2 languages

Document Review (for stand alone copyedit projects): $55/hour

ADDITIONAL PRICING COMPONENTS
Client is not charged for the following services:
~* Proofreading
~* Project Management
~* Engineering

OFF CONTRACT (Priced at 50% margin):
~* Transcription
~* Recording",25%,No,Contact Jon Bove: jbove@llts.com,,,"**Client requester contact information**

Christopher Mulè
Co-Director of Strategic Initiatives, Artist Employment Program
Creatives Rebuild New York
[[chris@creativesrebuildny.org>>path:mailto:chris@creativesrebuildny.org]]
(718) 812-5002",
Client Info Library.University of Michigan Medicine,XTRF,University of Michigan Medicine,,Client Info Library.University of Michigan Medicine - MT Portal,,,[[image:UMICHMED Logo.png]],"As of April 2024 - Document Type Field added to project creation request form in XTRF use [[this guide>>url:https://wiki.llts.com:8181/xwiki/bin/download/Client%20Info%20Library/University%20of%20Michigan/University%20of%20Michigan%20-%20Document%20Type%20Specific%20formatting%20guide.docx]] for formatting guidelines.
\\Check the ""**Client Custom ID 1**"" that is located underneath the ""QA Type"" on the project to determine which document type and which formatting guidelines apply. 

[[image:https://wiki.llts.com:8181/xwiki/bin/download/Client%20Info%20Library/University%20of%20Michigan/ClientCustomID1.PNG?width=269&height=245||alt=""ClientCustomID1.PNG"" height=""245"" width=""269""]]

Options will be: 

1)Patient instructions reviewed and approved by Michigan Medicine Patient Education Health Literacy (PEHL) Team

2)Patient-facing form reviewed and approved by Michigan Medicine Revenue Cycle Mid-Service

3) Other

Reach out to swanner@llts.com with any questions. ",,Lingo Systems (LLTS),"Must use **PI Branded Quote Template (glitch in current PI template requires use of standard template, with manually updating PI branding as of 1/22/24)**

Invoicing Note:

By approving I authorize Pacific interpreters to proceed with my project in accordance with the terms of this quote and I acknowledge that I have read and agreed to the related provisions detailed in the University of Michigan_MSA_EFF 1 01 2018.",,,,,,,,,,"Note that ALL University of Michigan patient education documents require bilingual treatment, please see the document attached for sample reference. If you are uncertain please ask the client to confirm if this treatment applies to your project. 

[[Bilingual Examples.zip>>url:https://wiki.llts.com:8181/xwiki/bin/download/Client%20Info%20Library/University%20of%20Michigan/Bilingual%20Examples.zip]]",,,,,"Pricing on [[University of Michigan main page>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/University%20of%20Michigan]]

 ",,,,,Invoices are sent on PI letterhead.,,,
Client Info Library.Advance Medical,,Advance Medical,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare List Pricing,,,,,,,,
